"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"11","24378","AI PHD SCHOLARSHIPS","A dedicated, AUD1.4 million PhD scholarship program will support emerging Australian researchers in artificial intelligence and machine learning.",2019,2022,NA,NA,"To raise the stock of AI research and expertise in Australia.",3,0,"1M-5M","Australia",2,1,1,1,"17608",1,3,10
"12","24385","AUSTRALIA'S TECH FUTURE","In December 2018 the Australian Government released its digital economy strategy – Australia’s Tech Future – which is a vision for how businesses, government and the community can work together to maximise the benefits and opportunities afforded by advanced digital technology.",2018,NA,NA,NA,"The strategy focuses on the four key areas of people, services, digital assets and the enabling environment, and identifies key government priorities and actions for each. It also shows how digital technology can be applied to provide benefits to different industry sectors, including agriculture, health, education and manufacturing.",1,0,"1M-5M","Australia",2,1,1,1,"18000",1,1,3
"13","24475","STANDARDS AUSTRALIA ARTIFICIAL INTELLIGENCE ROADMAP REPORT","To develop a roadmap of Australia's potential engagement in the development of AI standards nationally and internationally.",2019,2020,NA,NA,"At the conclusion of this process a national AI Standards Roadmap will publicly release.",2,0,"Less than 1M","Australia",2,1,1,1,"17817",1,1,7
"14","24475","STANDARDS AUSTRALIA ARTIFICIAL INTELLIGENCE ROADMAP REPORT","To develop a roadmap of Australia's potential engagement in the development of AI standards nationally and internationally.",2019,2020,NA,NA,"At the conclusion of this process a national AI Standards Roadmap will publicly release.",2,0,"Less than 1M","Australia",2,1,1,1,"22145",1,1,11
"15","24476","AI TECHNOLOGY ROADMAP","The AI Technology Roadmap will identify barriers to building Australian capability and highlight areas of opportunity to focus future government policy.",2018,2019,NA,NA,"To provide an initial evidence base to guide government policy on AI.",3,0,"1M-5M","Australia",2,1,1,1,"17999",1,1,1
"16","24477","ROBOTICS, AUTOMATION AND AI: PROGRAM DESIGN","Current consultation conducted by the Australian Space Agency.",2019,2020,NA,NA,"The Agency is seeking public consideration of the objectives and delivery framework for the Robotics and AI Command and Control Centre, and welcomes comments and feedback from the public during the consultation phase.",1,0,"Less than 1M","Australia",2,1,1,1,"17819",1,1,7
"17","24509","AUSTRALIAN CODE FOR THE RESPONSIBLE CONDUCT OF RESEARCH","The 2018 Code For The Responsible Conduct Of Research is a principles-based document that articulates the broad principles and responsibilities that underpin the conduct of Australian research.",2018,NA,NA,"The Code articulates the broad principles that characterise an honest, ethical and conscientious research culture. It outlines the expectations for the conduct of research in Australia or research conducted under the auspices of Australian institutions. The new Investigation Guide will assist institutions to manage, investigate and resolve complaints about potential breaches of the Code.<br/><br/>In June 2018, the ARC, National Health and Medical Research Council (NHMRC) and Universities Australia (the co-authors) issued the Australian Code for the Responsible Conduct of Research 2018 (the Code) and the Guide to Managing and Investigating Potential Breaches of the Code (the Investigation Guide). The 2018 Code and Investigation Guide replace the 2007 version of the Code.","To establish a framework for responsible research conduct that provides a foundation for high-quality research, credibility and community trust in the research endeavour.",3,0,"Not applicable","Australia",2,3,4,2,"17952",5,1,11
"18","26454","AI PHD SCHOLARSHIPS","A dedicated, $1.4 million PhD scholarship program will support emerging Australian researchers in artificial intelligence and machine learning.",2019,2022,NA,NA,"To raise the stock of AI research and expertise in Australia.",3,0,"1M-5M","Australia",2,1,1,1,NA,1,3,4
"19","3720","COOPERATIVE RESEARCH CENTERS PROGRAM","The Cooperative Research Centres (CRCs) program supports collaboration between research and industry.",1991,NA,NA,"The CRCs program is one of the main Australian providers of competitive grants. It has two streams:<br/><br/>- CRCs undertake industry-led, high quality collaborative research for up to 10 years. CRCs must have at least one Australian industry entity and one Australian research organisation as partners. CRCs have no set funding limit.<br/>- CRC Projects (CRC-Ps) undertake industry-led collaborative research for up to three years with grants capped at AUD 3 million. CRC-Ps must have at least two Australian industry entities (at least one of which is an SME) and one Australian research organisation as partners. <br/><br/>To date, the Government has committed over AUD 4.8 billion to support the establishment of 225 CRCs and 111 CRC-Ps. Participants have committed a further AUD 14.9 billion in cash and in-kind contributions. There are currently 23 active CRCs and 96 active CRC-Ps.<br/><br/>CRCs and CRC-Ps provide industry-focussed education and training opportunities for Australian students. Since the program was established in 1991, over 4,000 PhD graduates have been supported by the CRC Program.<br/><br/>CRC Projects with a focus on AI<br/><br/>Announced in the 2018-19 Budget, the Australian Government committed AUD 25 million in additional funding for the Cooperative Research Centres (CRC) Program to support additional CRC Projects with a specific focus on artificial intelligence (AI). CRC-P funding is available for a duration of up to three years and CRC-Ps may request a maximum of AUD 3 million of Commonwealth funding. The minimum grant amount is AUD 100,000. Each CRC-P must include and maintain amongst its project partners at least:<br/>- two industry entities including at least one SME; and<br/>- one research organisation.<br/><br/>All partners must contribute resources to the CRC-P.<br/><br/>Funding for the AI priority round has now been committed and the AI projects supported are now underway.","The CRCs program is designed to create a more collaborative research culture between Australian business and other end-users of research and the higher education sector. The scheme provides financial support for collaborations between researchers and industry in specific fields selected after annual rounds.",1,1,"Don't know","Australia",2,4,4,2,"19916",3,3,5
"20","3737","CSIRO INNOVATION FUND – MANAGED BY MAIN SEQUENCE VENTURES","The CSIRO Innovation Fund managed by Main Sequence Ventures is a AUD 242 million venture capital fund to invest in new spin-off companies, and existing startups and SMEs, which are developing technology from, or have ongoing research connections with, CSIRO, universities and other publicly funded research agencies.",2016,2028,NA,"The CSIRO Innovation Fund works to address the gap in funding to translate Australian research into commercial outcomes and national benefit. The Fund was established under the Australian Government's National Innovation and Science Agenda announced in 2015, supported by AUD 70 million in Commonwealth Government funding and AUD 30 million from CSIRO’s WLAN program, with a view to matching this from private sources. A successful capital raising round in 2017-18 has attracted AUD 142 million in private sector investment giving a total fund size of AUD 242 million. To date the Fund has invested around AUD 65 million in 20 portfolio companies, with a target of up to 25 companies in the final portfolio. Follow-on funding will be provided to portfolio companies as they progress. This investment has already stimulated the creation of over 125 new jobs in the deep technology sector. The intent is that the Fund will deliver 3X investment to its investors as well as national benefit in target sectors, employment and economic growth.","To support deep technology start-ups, spinouts SMEs through their early growth stages with capital investment and working intensively with the management of these companies.",1,1,"5M-20M","Australia",2,2,2,3,"14228",6,3,4
"21","14339","DIGITAL ROADMAP AUSTRIA","The Digital Roadmap provides an overview of current and future challenges surrounding digitalisation.",2017,NA,NA,"The Digital Roadmap presents around 150 specific measures in twelve fields of action in order to ensure that Austria can optimally exploit the potential of digitization. The Roadmap brings together the activities of all government departments in a joint Federal Government strategy paper for the first time. Once a year a Digital Summit will review and analyse the progress made so far.","To provide an overview of the current challenges and of existing and planned measures and activities.To coordinate activities of all government departments around digitization.To develop a scenario for 2025 around specific technologies: 5G, IoT, Big Data analytics, AI, open knowledge, augmented and virtual reality, 3D printing, advanced materials, blockchain and smart energy grids.",2,1,"Not applicable","Austria",3,1,1,6,"11553",8,1,3
"22","14907","AUSTRIAN COUNCIL FOR ROBOTICS AND ARTIFICIAL INTELLIGENCE","ACRAI, the Austrian Council for Robotics and Artificial Intelligence was established by the Minister of the Federal Ministry for Transport, Innovation and Technology. Its main tasks assist to provide an Austrian Strategy for Robotics and Artificial Intelligence, and general advice for Research and Technology concerning aspects like Ethics, Economy, Technology and Law.",2017,NA,NA,"Upcoming disruptive technologies like robotics and AI will be a game changer for the whole system, the society, the labour market, production, education and law. Governance therefore has to include ethical, economical, technical and legal considerations for further developments. An expert team will give some interdisciplinary advice to the government.<br/>ACRAI will also give information to the public about upcoming changes and expectations in this field.","To provide general advice for Research and Technology concerning aspects such as: Ethics, Economy, Technology and Law.",1,0,"1M-5M","Austria",3,3,4,1,"11569",1,1,7
"23","14907","AUSTRIAN COUNCIL FOR ROBOTICS AND ARTIFICIAL INTELLIGENCE","ACRAI, the Austrian Council for Robotics and Artificial Intelligence was established by the Minister of the Federal Ministry for Transport, Innovation and Technology. Its main tasks assist to provide an Austrian Strategy for Robotics and Artificial Intelligence, and general advice for Research and Technology concerning aspects like Ethics, Economy, Technology and Law.",2017,NA,NA,"Upcoming disruptive technologies like robotics and AI will be a game changer for the whole system, the society, the labour market, production, education and law. Governance therefore has to include ethical, economical, technical and legal considerations for further developments. An expert team will give some interdisciplinary advice to the government.<br/>ACRAI will also give information to the public about upcoming changes and expectations in this field.","To provide general advice for Research and Technology concerning aspects such as: Ethics, Economy, Technology and Law.",1,0,"1M-5M","Austria",3,3,4,1,"18361",1,4,12
"24","14907","AUSTRIAN COUNCIL FOR ROBOTICS AND ARTIFICIAL INTELLIGENCE","ACRAI, the Austrian Council for Robotics and Artificial Intelligence was established by the Minister of the Federal Ministry for Transport, Innovation and Technology. Its main tasks assist to provide an Austrian Strategy for Robotics and Artificial Intelligence, and general advice for Research and Technology concerning aspects like Ethics, Economy, Technology and Law.",2017,NA,NA,"Upcoming disruptive technologies like robotics and AI will be a game changer for the whole system, the society, the labour market, production, education and law. Governance therefore has to include ethical, economical, technical and legal considerations for further developments. An expert team will give some interdisciplinary advice to the government.<br/>ACRAI will also give information to the public about upcoming changes and expectations in this field.","To provide general advice for Research and Technology concerning aspects such as: Ethics, Economy, Technology and Law.",1,0,"1M-5M","Austria",3,3,4,1,"20845",1,1,13
"25","24048","PLATFORM INDUSTRY 4.0 AUSTRIA","The Platform Industry 4.0 is a membership based non-profit association, providing a hub supporting policy coordination between relevant stakeholders.",2015,NA,NA,"Industry 4.0 has influence on various policy fields, which span the areas of responsibility of a several ministries. It was founded by the Federal Ministry of Transport, Innovation, and Technology (BMVIT), the Austrian Chamber of Labour (BAK), the Association of Electrical and Electronical Industries (FEEI), the Association of Metaltechnology Industries (FMTI), the Association of Austrian Industries (IV), and the Production Workers' Union (PRO-GE) in order to tackle the upcoming challenges.","To facilitate the process of change driven by Industry 4.0 in Austria.Contribute to creating an ecosystem for innovative industrial production by strengthening co-operation among relevant stakeholders (industry, science, policy makers, employees and employers associations),",1,0,"Less than 1M","Austria",3,2,2,4,"17003",8,2,14
"26","24233","ARTIFICIAL INTELLIGENCE MISSION AUSTRIA 2030","Under the working title Artificial Intelligence Mission Austria 2030 (AIM AT 2030), a federal AI strategy is to be developed which will set the framework conditions for a wealth-promoting and responsible use of AI in all areas of life.",2019,NA,NA,NA,"To promote a responsible and broad use of AI in the public interest based on European fundamental values (inviolability of human dignity, respect for privacy and the principle of equality) in Austria and thus to contribute to the preservation of the greatest possible sovereignty of the country with regard to the use and application of AI and thus to the reduction of dependence on global monopolies and market leaders.The development of measures to recognize, mitigate or prevent possible dangers and undesirable developments that may result from AI for people and society and make AI applications verifiable. Raise awareness and organise social dialogues on how to deal with AI and its specific regulation in various fields of application with the participation of civil society to promote social participation, freedom of action and self-determination for citizens.To raise research, technology and innovation for AI in key areas or niches to a worldwide top level, thereby pushing forward the massive strengthening of fundamental scientific research.To position Austria as a leading research and innovation location for AI worldwide and thus use the opportunities that AI offers for the competitiveness of the industrial location. To establish the public administration as a lead user and provider of AI-supported public services for citizens and thus to push ahead the modernisation of the administration.To promote the transfer of AI applications into Austrian SMEs, to generate new added value from the application of AI and to improve framework conditions for the establishment of start-ups in order to set economic and employment policy impulses.To create a legal framework that ensures the safety of the use of AI for people and society and meets the requirements of EU legislation.",2,0,"Not applicable","Austria",3,3,3,6,"18272",8,1,9
"27","24233","ARTIFICIAL INTELLIGENCE MISSION AUSTRIA 2030","Under the working title Artificial Intelligence Mission Austria 2030 (AIM AT 2030), a federal AI strategy is to be developed which will set the framework conditions for a wealth-promoting and responsible use of AI in all areas of life.",2019,NA,NA,NA,"To promote a responsible and broad use of AI in the public interest based on European fundamental values (inviolability of human dignity, respect for privacy and the principle of equality) in Austria and thus to contribute to the preservation of the greatest possible sovereignty of the country with regard to the use and application of AI and thus to the reduction of dependence on global monopolies and market leaders.The development of measures to recognize, mitigate or prevent possible dangers and undesirable developments that may result from AI for people and society and make AI applications verifiable. Raise awareness and organise social dialogues on how to deal with AI and its specific regulation in various fields of application with the participation of civil society to promote social participation, freedom of action and self-determination for citizens.To raise research, technology and innovation for AI in key areas or niches to a worldwide top level, thereby pushing forward the massive strengthening of fundamental scientific research.To position Austria as a leading research and innovation location for AI worldwide and thus use the opportunities that AI offers for the competitiveness of the industrial location. To establish the public administration as a lead user and provider of AI-supported public services for citizens and thus to push ahead the modernisation of the administration.To promote the transfer of AI applications into Austrian SMEs, to generate new added value from the application of AI and to improve framework conditions for the establishment of start-ups in order to set economic and employment policy impulses.To create a legal framework that ensures the safety of the use of AI for people and society and meets the requirements of EU legislation.",2,0,"Not applicable","Austria",3,3,3,6,"18277",8,1,3
"28","14773","JOINT R&D PROJECT CALL","The Joint R&D project call (previously known as Team-up) involves an active participation of both academic units and industrial teams with an aim of strengthening knowledge, transferring IP from academic research to the industry and turning it into prototypes that lead to new business opportunities.",2017,NA,NA,"In 2019 Innoviris launched a new Joint R&D project call focusing on predictive medicine. This call is coherent with our focus on health as one of our three major priorities in the Regional Innovation Plan. Thanks to the progress made on medical imagery and biotechnology, there is a possibility to move further on medicine. The long term goal is to move from therapeutic medicine to predictive medicine in order to put in place prevention strategies for patients. The three pillars of this call are : identification, prediction and prevention. <br/><br/>In 2018, a call was launched on decentralized networks.","To foster R&D related collaboration between academia and industry in the Brussels-Capital Region.",1,0,"1M-5M","Belgium - Brussels Capital",4,4,8,3,"13494",4,3,4
"29","14773","JOINT R&D PROJECT CALL","The Joint R&D project call (previously known as Team-up) involves an active participation of both academic units and industrial teams with an aim of strengthening knowledge, transferring IP from academic research to the industry and turning it into prototypes that lead to new business opportunities.",2017,NA,NA,"In 2019 Innoviris launched a new Joint R&D project call focusing on predictive medicine. This call is coherent with our focus on health as one of our three major priorities in the Regional Innovation Plan. Thanks to the progress made on medical imagery and biotechnology, there is a possibility to move further on medicine. The long term goal is to move from therapeutic medicine to predictive medicine in order to put in place prevention strategies for patients. The three pillars of this call are : identification, prediction and prevention. <br/><br/>In 2018, a call was launched on decentralized networks.","To foster R&D related collaboration between academia and industry in the Brussels-Capital Region.",1,0,"1M-5M","Belgium - Brussels Capital",4,4,8,3,"14857",4,3,4
"30","14775","PROSPECTIVE RESEARCH PROGRAMME","Through its Prospective Researchprogramme, Innoviris is financing projects led by academic researchers at a Brussels university or college which focus on the future and cover areas of importance to the Brussels Capital Region.",2017,NA,NA,"The programme funds projects in the areas of both humanities and hard sciences. The projects pay the appropriate attention to creating valuable research, preferably in collaboration with a supporting institution.","To develop and enrich the knowledge available on Brussels' urban complexity. The recent thematic calls for the programme were focused on sustainable tourism and the future of governance.",1,0,"1M-5M","Belgium - Brussels Capital",4,2,4,2,"13538",2,3,5
"31","14797","PLAN NEXT TECH BRUSSELS","This plan aims to boost ICT entrepreneurship in the Brussels capital region.",2017,2020,NA,NA,"To create an environment that supports and promotes the creation and growth of companies active in information and communication technologies by formulating a series of objectives and concrete measures.",1,0,"Don't know","Belgium - Brussels Capital",4,2,3,2,"13575",2,1,3
"32","15194","IMEC CORE FUNDING","Imec performs world-leading research in the field of nano-electronics and nano-technology. This research includes digital components, organic electronics or scaling-driven nano-electronics and is applied in healthcare, smart electronics, sustainable energy and transport.",1984,NA,NA,"In February 2016, the merger was announced between the strategic research centres Imec and iMinds, which was completed in October 2016, when iMinds vzw was disbanded to become one of Imec’s business units. The renewed Imec confirms its role as the world’s leading research centre for nanoelectronics and digital technology. It brings together nearly 3,500 researchers from all over the world and has a unique infrastructure, with the most advanced equipment for research into next-generation IC technologies, and state-of-the-art bio, network and imaging labs. This includes 12,000 square meters of cleanrooms (of which the most recent 4000 square meeters<U+02DB> 300mm facility was inaugurated in March 2016). <br/>Imec is also a driver of the ‘City of Things’ project, that builds a Smart City ‘Internet of Things’ (IoT) living laboratory in Antwerp. IoT is a network of digitally connected objects and infrastructure via wireless gateways that exchange data using embedded sensors. Companies, researchers, residents and local authorities can experiment with smart technology through the participation in IoT and share information on mobility, energy consumption and air quality as part of a major urban digital project.","Confirms its role as the world’s leading research centre for nanoelectronics and digital technology.",1,1,"More than 500M","Belgium - Flanders",5,3,5,7,"10508",9,3,15
"33","15194","IMEC CORE FUNDING","Imec performs world-leading research in the field of nano-electronics and nano-technology. This research includes digital components, organic electronics or scaling-driven nano-electronics and is applied in healthcare, smart electronics, sustainable energy and transport.",1984,NA,NA,"In February 2016, the merger was announced between the strategic research centres Imec and iMinds, which was completed in October 2016, when iMinds vzw was disbanded to become one of Imec’s business units. The renewed Imec confirms its role as the world’s leading research centre for nanoelectronics and digital technology. It brings together nearly 3,500 researchers from all over the world and has a unique infrastructure, with the most advanced equipment for research into next-generation IC technologies, and state-of-the-art bio, network and imaging labs. This includes 12,000 square meters of cleanrooms (of which the most recent 4000 square meeters<U+02DB> 300mm facility was inaugurated in March 2016). <br/>Imec is also a driver of the ‘City of Things’ project, that builds a Smart City ‘Internet of Things’ (IoT) living laboratory in Antwerp. IoT is a network of digitally connected objects and infrastructure via wireless gateways that exchange data using embedded sensors. Companies, researchers, residents and local authorities can experiment with smart technology through the participation in IoT and share information on mobility, energy consumption and air quality as part of a major urban digital project.","Confirms its role as the world’s leading research centre for nanoelectronics and digital technology.",1,1,"More than 500M","Belgium - Flanders",5,3,5,7,"10515",9,3,16
"34","15323","R&D PROJECTS (EXPERIMENTAL DEVELOPMENT)","Experimental development may be defined as the activity which targets the application of the results of industrial research in the form of prototype products, processes, or services, which may not be used for commercial purposes before the end of the project.",1986,NA,NA,"At the start of 2019, three industrial programs (Shape, Explore, and Upgrade) were brought together under the name of ""R&D projects"". There are three types of R&D projects:<br/>- Experimental Development (this instrument) (previously Shape)<br/>- Industrial research (previously Explore)<br/>- Organisation and process innovations (previously Upgrade)","The R&D project program enables the financing of experimental development projects.",1,0,"5M-20M","Belgium - Brussels Capital",4,2,2,1,"13573",1,3,4
"35","2316","REGIONAL INNOVATION PLAN","The Regional Innovation Plan is the upshot of a comprehensive and inclusive process. More than 200 people from different sectors were consulted, including companies, colleges and universities, (regional) public institutions, representatives of the other Belgian Regions and Communities, professional associations and civil society.",2016,2020,NA,"In 2011, the region started the preparation of a new RDI strategy for the region in line with the EU 2020 strategy. The objective was the elaboration of a ""smart specialisation strategy"" for Brussels. The definition of the smart specialisation strategy is based on both a quantitative analysis (patents, collaborations, publications, FP participation, employment data) and a qualitative analysis (interviews and workshops). The Brussels Capital Region (BCR) in general and each “priority” is subject to a detailed SWOT analysis based on these elements. In July 2016, the Government of the Brussels Capital Region approved the new Regional Innovation Plan 2016-2020. It will be implemented in the course of 2016-2020.<br/>The new plan confirms the strategic orientations identified by the Brussels Capital Region since 2006 : ICT, Healthcare, Environment.","The plan aims to be the reference framework for the research and innovation policy and a catalyst for socio-economic development, while also promoting the welfare of the inhabitants of Brussels.",1,1,"50M-100M","Belgium - Brussels Capital",4,6,8,3,"12772",4,1,3
"36","24234","AI 4 BELGIUM","Experts have written AI guidelines for Belgian policy makers.",2019,NA,NA,NA,"In March 2019, Belgium launched its national AI strategy, “AI 4 Belgium”. The strategy includes seven objectives for action:<br/><br/>1. Policy support on ethics, regulation, skills and competences.<br/>2. Provide Belgian AI cartography.<br/>3. Co-animate Belgian AI community.<br/>4. Collect EU funding and connect EU ecosystems.<br/>5. Propose concrete action for training in AI.<br/>6. Contribute to the uptake of AI technologies by the industry.<br/>7. Make new products and services based on AI technologies emerge.",1,0,"Less than 1M","Belgium - Federal government",6,1,1,1,"17350",1,3,10
